session_id,session_start,session_end,elapsed_seconds_start_to_finish,sum_trial_elapsed_seconds,mean_trial_elapsed_seconds,n_trials
23a477dd-d8b8-42c6-adbe-47f39ed77952,2025-03-30 22:27:35.986,2025-03-30 22:30:22.313,166.327,166.252,5.362967741935484,31
2a298ece-1693-424d-9d70-7988e3c23aa6,2025-03-30 17:14:15.120,2025-03-30 17:15:57.389,102.269,102.218,6.388625,16
359314b3-5a7c-4dd0-b813-6d8344c62062,2025-03-30 22:09:04.665,2025-03-30 22:13:21.123,256.458,246.159,5.02365306122449,49
396f53e6-e4aa-4d49-861d-5cab0e380592,2025-04-02 22:19:12.419,2025-04-02 22:24:19.552,307.133,296.724,4.564984615384615,65
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,2025-04-01 22:25:22.079,2025-04-01 22:32:41.770,439.691,429.368,5.051388235294118,85
52c3627d-635c-44b0-8eca-f1a6c372019d,2025-03-30 17:23:36.013,2025-03-30 17:29:51.473,375.46,370.129,8.412022727272728,44
74500da8-b16d-48c9-a573-2b507d395bbb,2025-03-30 21:54:06.721,2025-03-30 21:55:58.466,111.745,106.644,7.1096,15
84a32360-b241-415e-9626-55dddd442162,2025-03-30 17:01:40.237,2025-03-30 17:04:36.329,176.092,162.237,5.4079,30
957d4d90-5e33-448f-8662-9a27f6f2b66c,2025-04-02 22:32:41.549,2025-04-02 22:35:17.080,155.531,150.356,4.698625,32
99ea5a4e-5011-47ee-823c-56fdacec63f5,2025-03-30 21:52:05.376,2025-03-30 21:53:57.014,111.638,111.514,5.575699999999999,20
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,2025-03-30 21:56:02.547,2025-03-30 22:08:50.946,768.399,757.853,5.413235714285714,140
c488b456-7651-4424-8cc9-8f81ed92e0e2,2025-04-02 22:38:40.794,2025-04-02 22:49:02.516,621.722,613.085,4.4750729927007304,137
c9a0db8e-8359-4a36-8e49-5080627736e3,2025-03-30 22:21:36.865,2025-03-30 22:27:11.679,334.814,319.296,4.6955294117647055,68
dfb19734-6102-44df-8e11-9947e134eeb2,2025-03-30 22:33:28.913,2025-03-30 22:37:13.586,224.673,216.042,4.800933333333333,45
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2025-04-02 21:48:17.562,2025-04-02 21:51:16.989,179.427,179.255,4.717236842105263,38
f59e9a00-0a45-4497-8048-818cd5f48267,2025-03-30 22:15:55.243,2025-03-30 22:19:10.822,195.579,195.489,5.5854,35
