session_id,test_version,session_median_true,session_mean,n_trials
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,5.7753491564197885,5.930634365256796,30
2a298ece-1693-424d-9d70-7988e3c23aa6,1,5.772815707273539,7.215590558288896,16
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,5.282232558139536,5.813330789039122,85
74500da8-b16d-48c9-a573-2b507d395bbb,1,6.641988977013039,7.462119905976204,14
84a32360-b241-415e-9626-55dddd442162,1,5.713847265221878,6.172647639780264,28
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,5.113263157894736,6.253117137206088,19
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.670212943632568,6.049233597056223,139
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5.194742217771779,5.319714172112382,68
f59e9a00-0a45-4497-8048-818cd5f48267,1,5.004566929133858,5.921932295737918,33
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5.362051814111471,5.504744775960316,48
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4.442166666666667,4.699348918006569,65
52c3627d-635c-44b0-8eca-f1a6c372019d,2,6.500377358490567,7.2494042734432,41
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4.539229013315689,5.198936180602324,32
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,3.8264138851802407,4.178360632507199,129
dfb19734-6102-44df-8e11-9947e134eeb2,2,4.855200000000001,5.352329188024204,45
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,4.728446516402207,5.474446692453201,38
