session_id,round_id,start_time,end_time,trial_elapsed_seconds
84a32360-b241-415e-9626-55dddd442162,1,2025-03-30 17:01:40.237,2025-03-30 17:01:51.858,11.621
84a32360-b241-415e-9626-55dddd442162,2,2025-03-30 17:01:51.957,2025-03-30 17:01:54.736,2.779
84a32360-b241-415e-9626-55dddd442162,3,2025-03-30 17:01:54.737,2025-03-30 17:02:06.279,11.542
84a32360-b241-415e-9626-55dddd442162,4,2025-03-30 17:02:06.284,2025-03-30 17:02:11.581,5.297
84a32360-b241-415e-9626-55dddd442162,5,2025-03-30 17:02:11.584,2025-03-30 17:02:17.232,5.648
84a32360-b241-415e-9626-55dddd442162,6,2025-03-30 17:02:17.234,2025-03-30 17:02:20.823,3.589
84a32360-b241-415e-9626-55dddd442162,7,2025-03-30 17:02:20.825,2025-03-30 17:02:25.738,4.913
84a32360-b241-415e-9626-55dddd442162,8,2025-03-30 17:02:25.741,2025-03-30 17:02:30.303,4.562
84a32360-b241-415e-9626-55dddd442162,9,2025-03-30 17:02:30.305,2025-03-30 17:02:34.201,3.896
84a32360-b241-415e-9626-55dddd442162,10,2025-03-30 17:02:34.205,2025-03-30 17:02:39.351,5.146
84a32360-b241-415e-9626-55dddd442162,11,2025-03-30 17:02:39.354,2025-03-30 17:02:42.818,3.464
84a32360-b241-415e-9626-55dddd442162,12,2025-03-30 17:02:42.819,2025-03-30 17:02:47.133,4.314
84a32360-b241-415e-9626-55dddd442162,13,2025-03-30 17:02:47.135,2025-03-30 17:02:53.078,5.943
84a32360-b241-415e-9626-55dddd442162,15,2025-03-30 17:03:06.765,2025-03-30 17:03:10.714,3.949
84a32360-b241-415e-9626-55dddd442162,16,2025-03-30 17:03:10.716,2025-03-30 17:03:14.335,3.619
84a32360-b241-415e-9626-55dddd442162,17,2025-03-30 17:03:14.336,2025-03-30 17:03:24.682,10.346
84a32360-b241-415e-9626-55dddd442162,18,2025-03-30 17:03:24.687,2025-03-30 17:03:28.005,3.318
